pname,n,total,max_amt
INTERFACE CONSTRUCTION CORPORATION,125,23895694.21,7178729.0
AB SKF,100,23889775.84,4217400.0
"ONE STOP SERVICES/HKI2, INC.",34,23847847.990000002,4261600.74
"CAPITOL EXHIBIT SERVICES, INC",180,23773274.62,1679229.07
"JONES PUBLIC AFFAIRS, LLC",42,23772933.48,5719300.0
VECTOR INNOVATIVE SOLUTIONS LLC,23,23759478.07,4096467.2
AECOM INTERNATIONAL INC.,93,23752423.28,4337050.71
"THE PRECISION GROUP, LLC",36,23729410.59,4270859.5
PROJECT HOPE - THE PEOPLE-TO-PEOPLE HEALTH FOUNDATION INC,10,23712173.06,5700000.0
"ASURANSI JASA INDONESIA (PERSERO), PT",28,23671049.46,1717573.8
"SIGNATURE RESEARCH, INC.",132,23646400.36,1898064.0
BRYMAK UNIVERSAL LLC,17,23639445.6,4845886.0
GLOBAL AVIATION HOLDINGS INC.,10,23544056.17,10024914.88
ISRAEL CORPORATION LTD.,57,23502956.13,3278000.0
"BOWHEAD MANUFACTURING TECHNOLOGIES, LLC",68,23470550.119999997,9670232.27
"BLUESTONE INTERSPEC JV, LLC",54,23454485.21,4567089.0
"JUSTRITE MANUFACTURING COMPANY, LLC (DEL)",56,23453105.35,1244817.24
YAYASAN PENDIDIKAN INTERNASIONAL INDONESIA,32,23449445.08,4000000.0
"INTELLIGENT TECHNOLOGY, LLC",38,23379240.48,3886080.0
PRECISION BUILD SOLUTIONS LLC,7,23371286.0,19112957.0
"CAPEX & D SQUARE, A JOINT VENTURE LLC",13,23289495.0,22896328.0
"BLUE RIDGE ENVISIONEERING, INC.",96,23157351.51,1940000.0
"JOHNS HOPKINS BAYVIEW MEDICAL CENTER, INC.",45,23113530.32,2500000.0
ASSURED SPACE ACCESS TECHNOLOGIES INC,84,23078531.37,2132565.09
CHICKASAW NATION,115,23048879.37,4739438.0
"ROAD AND HIGHWAY BUILDERS, LLC",36,22975215.06,12587718.0
SITNASUAK NATIVE CORPORATION,1,22930000.0,22930000.0
"WASHINGTON EQUIPMENT MANUFACTURING COMPANY, INC.",26,22885332.88,10464000.0
AEROSPACE SUPPORT TECHNOLOGIES,68,22876374.86,4507937.12
PARADIGM HOLDINGS  INC.,32,22848393.950000003,10966551.46
HONEYWELL TECHNOLOGY SOLUTIONS INCORPORATED,110,22775218.42,1193000.0
NORTH STONE LLC,35,22748508.07,4396799.74
"HDR, INC",22,22695659.630000003,19238022.8
"NATIONAL GRAPE CO-OPERATIVE ASSOCIATION, INC.",24,22622452.46,1912005.29
ALASKA UNIVERSAL SERVICES LLC,78,22614339.54,3000000.0
LEAVENWORTH-JEFFERSON ELECTRICAL COOPERATIVE INC,95,22592156.7,2953094.92
CAYUSE HOLDINGS LLC,30,22583387.77,6419537.0
UNIVERSITY OF MARYLAND ORTHOPAEDIC ASSOCIATES PA,78,22576370.72,2222042.56
GARDNER DENVER NASH LLC,40,22558997.21,4749616.0
"MODERN AMERICAN RECYCLING & REPAIR SERVICES OF ALABAMA, LLC",24,22547071.53,9562791.0
"QUALITY SYSTEMS MANAGEMENT, INC.",80,22464532.67,1039644.0
PARADIGM MANCHESTER INC.,11,22462196.22,9789044.98
STANLEY CONSULTANTS-STANTEC JV,94,22437036.2,8662222.02
"GENESIS CONSULTING PARTNERS, LLC",59,22407766.52,3102900.0
CLEA - IMPRESA COOPERATIVA DI COSTRUZIONI GENERALI SOC COOP,46,22396455.830000002,7729030.83
CONSTRUCCIONES FELIPE CASTELLANO COBRA INSTALACIONES Y SERVICIOS CONSTRUCCIONS MAYGAR UTE LEY 18/1982 DE 26 DE MAYO,21,22248316.04,18479243.48
GRAHAM & ASSOCIATES INC,76,22210814.62,1699834.8
"INTELLIGENT OPTICAL SYSTEMS, INC.",179,22185558.87,1499984.0
NODAK ELECTRIC COOPERATIVE INC,43,22125709.11,2599068.0
RICH PRODUCTS CORPORATION,23,22072117.13,1812952.54
"GREENLIGHT GROUP JV, LLC",19,22045755.17,6479118.12
"STAFFORD BUILDERS & CONSULTANTS, INC",59,22038176.56,3567915.29
AIRBUS SE,42,21949104.09,9610425.0
"G M R AERIAL SURVEYS, INC.",100,21896414.91,1496390.0
DECISION SCIENCES INCORPORATED,85,21821325.68,2400733.7
CONSTANT EAGLE HILL LLC,33,21762035.05,2649309.71
CORONET MACHINERY CORP.,113,21755141.93,3305400.0
DOWNIE JONES SHIP STORES LIMITED,80,21712808.86,1540197.7
TIERRA DATA INC,76,21710389.54,1444212.0
"HY-TEK MANUFACTURING CO., INC.",69,21662741.93,3197794.3
"GLOBAL ENGINEERING SOLUTIONS, INC.",123,21644886.09,2398326.0
"ARCO WINE MERCHANTS, INC.",226,21627842.62,1322161.81
PIONEER TECHNOLOGIES INC.,56,21565104.78,2271550.48
SUL AMERICA COMPANHIA DE SEGUROS SAUDE,59,21489928.36,1541291.96
"CAREGROUP, INC.",70,21432309.88,3005414.0
"THE NEW MARYLAND CLOTHING MANUFACTURING, INC.",49,21335693.28,1502582.4
"JUBILANT DRAXIMAGE RADIOPHARMACIES, INC.",165,21319834.26,1247248.0
"SOUTHERN MARYLAND ELECTRIC COOPERATIVE, INC.",231,21293252.67,5120944.0
YELLOWSTONE KELLYS INC,87,21237760.21,2000000.0
"APTIM-VERSAR, LLC.",53,21141084.32,4148123.48
"REYNOLDS SYSTEMS, INC",137,21116234.74,1330855.2
OKINAWAKEN SANGYO HAIKIBUTSUSHORI COOPERATIVE ASSOCIATION,188,21103088.29,1588704.95
"CENTERSTONE OF ILLINOIS, INC.",37,21088651.14,1900000.0
IMT HOLDINGS CORP.,8,21075100.0,9402540.0
"STONE GROUP ARCHITECTS, INC.",134,21062610.3,1934291.02
COOPER CHASE CONSTRUCTION,60,21059514.7,4837501.0
"ADEPTUS SOLUTIONS, INC.",53,21016015.47,2292256.56
MOONLIGHT SALES CORPORATION,9,21013762.2,7108673.0
"BURNINGCASTLE, LLC",22,20875033.87,4684315.99
MCCRONE ASSOCIATES INC,13,20864636.35,9234997.96
PREMIER STANLEY JV LLC,89,20854563.5,1989011.27
"PRECISION GRAPHICS, INC.",36,20817843.73,3889256.81
"ONEZERO SOLUTIONS, LLC",77,20784940.79,1540074.12
"THOMSON REUTERS (TAX & ACCOUNTING), INC.",9,20770842.39,9899000.0
MASON & HANGER-POND JOINT VENTURE LP,69,20727011.68,2126356.33
"SYSTEMS PLANNING AND ANALYSIS - ENVISIONEERING, LLC",38,20683528.25,2700000.0
II CORPS CONSULTANTS  INC.,59,20641666.96,3147892.0
KONINKLIJKE DSM N.V.,21,20620021.73,4333903.0
"BRUNSWICK BCT GROUP, THE",51,20581189.23,1698033.0
KEYSTONE STRATEGY LLC,62,20353105.22,1393800.0
"BROOKLYN HOUSE RRC, INC.",36,20340875.0,2330400.0
MOHAWK NETWORKS LLC,23,20336081.119999997,9899999.11
"AURORA INNOVATIONS, LLC",261,20324287.12,1139229.71
"BEI PRECISION SYSTEMS & SPACE COMPANY, INC",45,20240234.9,2806980.0
AKRON BUILDING & OUTDOOR MAINTENANCE INC,15,20239951.91,14055734.88
WARBURG PINCUS LLC,29,20218971.42,2999976.23
"ACQUISITION WORKFORCE, INC.",79,20214842.67,1687612.57
"STONE RIDGE CONSTRUCTION, INC",137,20119805.71,1411927.58
"PREMIER ROOFING CA, INC.",60,20079012.65,2688888.0
CBIZ CPAS P.C.,133,20069812.34,2589884.0
NEXELIS GROUP INC.,7,20015850.15,8155375.0
VALENCE VECTOR LABS LLC,19,20009050.16,6468000.4
FCA INTERNATIONAL OPERATIONS LLC,46,20008754.0,1821084.0
GRAHAM ADVISORY NETWORK INC,45,19992171.34,2785300.0
EASTEX BERTHING INC,53,19945719.93,8313198.71
"CHEROKEE UNITED SERVICES, L.L.C.",19,19924539.509999998,9834734.0
DELTA VECTOR USA LLC,27,19904711.9,8053372.88
MALONEY CONSTRUCTION INC,28,19903844.43,12506447.5
"NATIONAL AMUSEMENTS, INC.",100,19860291.54,1365362.0
MANUFACTURING SUPPORT INDUSTRIES INC,116,19836857.23,3818850.0
APOLLO ENVIRONMENTAL STRATEGIES INC,33,19799386.38,4956400.0
OEI-AECOM JOINT VENTURE,16,19793717.759999998,7499808.0
"SMITH-MILLER + HAWKINSON ARCHITECTS, LLP",73,19741912.79,7975880.49
LLOYD'S MARITIME INFORMATION SERVICES LTD,29,19702639.34,4947792.0
"NATIONAL GRID USA SERVICE COMPANY, INC.",54,19625660.9,7384446.0
TPMC-ENERGYSOLUTIONS ENVIRONMENTAL SERVICES 2008 LLC,70,19573934.09,6318392.07
BLACKBOX BIOMETRICS INC,27,19528193.27,9371520.0
GRAHAM MALCOLM JV,40,19425211.2,18467177.5
AZENTA US INC,20,19406086.96,7499915.0
GRAHAM GROUP LTD,37,19394605.0,17775000.0
"SAM BONK UNIFORM CIVILIAN CAP COMPANY, INC.",54,19348263.4,2018722.0
R2C INC,22,19282320.259999998,3394223.28
WHITE STONE SPECTRUM HEALTHCARE RESOURCES LLC,28,19254528.2,5040538.4
"MA-CHIS KAWV ONE, LLC",69,19253105.0,10771015.0
UNIVERSAL MARINE SERVICES INC,40,19206673.34,5052913.39
PRESIDIO NETWORKED SOLUTIONS LLC,92,19170257.69,3134996.77
ONE DIVERSIFIED LLC,68,19156602.29,6597008.62
BLUESTONE LOGIC  LLC,51,19156297.599999998,2472465.88
"AMBYTH SHIPPING MICRONESIA, INC.",85,19127478.49,2307201.3
HDT INTERNATIONAL HOLDINGS  INC.,28,19079215.13,4797478.0
"SOUTHERN CUSTOM EXHIBITS OF ALABAMA, INC.",137,19069767.28,1431666.0
BOARD OF TRUSTEE DUKE UNIV,27,19065982.14,3879668.4
PEARL INTERACTIVE NETWORK LLC,27,18947298.03,3553912.22
TURNITIN  LLC,4,18822153.8,12249999.44
EAST PENN MANUFACTURING CO.,31,18781177.27,8509000.0
PERFECT POINT EDM CORPORATION,30,18733979.43,4951646.64
FIRST STATE MANUFACTURING INC,45,18704309.66,1524735.0
STONEWALL DEFENSE  LLC,26,18687688.17,3603355.36
AECOM-B&V LAKES AND RIVERS JV,26,18611370.26,6715928.0
H.KRONENBERGER UND SOHN GMBH,29,18573572.64,6739392.67
"SEAIR TRANSPORT SERVICES, INC.",105,18519831.42,2064014.6
ONEOMEGA LLC,20,18502069.669999998,3831023.84
"THE TRIUMPH GROUP OPERATIONS, INC",58,18448873.74,8635770.0
HOCHTIEF AG,28,18380207.0,15000000.0
QUANTUM TECHNOLOGY GROUP LLC,84,18355165.56,2786477.53
CORNERSTONE ENGINEERING INC,53,18330141.83,2856985.0
POWELL VALLEY ELECTRIC COOPERATIVE,78,18317956.33,1504343.62
XEDAR CORPORATION,189,18303565.23,2000000.0
CHEROKEE FEDERAL SOLUTIONS  L.L.C.,46,18190409.81,3671434.97
"HOUSTON DRIVE TRAIN VEHICLE COMPONENT SALES, INC.",50,18186544.71,1789840.11
TNT PREMIER PARTNERSHIP LLC,24,18179377.88,5763890.0
SUMMIT POINT RACEWAY  ASSOCIATES  INC,49,18164337.32,4390013.74
"AMCON CONSTRUCTION, INC.",38,18160836.18,2991753.0
"THOMA BRAVO, L.P.",71,18134736.5,1122394.14
KEYSTONE SHIP BERTHING INC,44,18114777.64,3742774.0
IACCESS TECHNOLOGIES INC,56,18111048.459999997,9022859.69
WSP-VERSAR JV,65,18046091.599999998,3547930.51
FRONTIER-ARROWHEAD JVA,56,18029902.05,11006058.0
IBILEY MANUFACTURING CORP,31,18005320.95,5308450.0
CAPELLA SPACE CORPORATION,19,17948933.45,9998447.45
PERFORMANCE DRONE WORKS LLC,5,17930455.0,15259840.0
GLOBE MACHINE MANUFACTURING COMPANY,7,17902474.0,8655784.0
"MICRO SYSTEMS CONSULTANTS, INC",82,17892137.45,2162581.5
HONEYCOMB COMPANY OF AMERICA  INC.,73,17885315.52,4672370.35
"A-ZONE ENVIRONMENTAL SERVICES, LLC",66,17833743.53,3335755.06
"PREMIER CONSULTING & MANAGEMENT SERVICES, INC.",145,17769742.62,2110465.01
TECHNICAL COMMUNICATIONS SOLUTIONS CORP,12,17743892.0,8622068.0
JROGERS CONSULTING LLC,91,17742726.51,1201185.24
"ADVANCIA REMEDIATION SERVICES, LLC",27,17710541.37,5664970.0
BIG TOP MANUFACTURING LLC,44,17621459.97,2093855.0
PHYSICAL SCIENCES INC.,143,17610389.21,1000000.0
"GLOBAL ENGINEERING & MANAGEMENT SERVICES (GEMS), INC.",116,17598709.03,1267834.37
"EDUCATION MANAGEMENT SOLUTIONS, LLC",60,17558559.19,5000336.9
GEORG VON HOLTZBRINCK GMBH & CO.KG,47,17555895.0,1529604.53
"SUNGARD AVAILABILITY SERVICES, LP",17,17549027.68,2756100.0
"ONE WAY DEVELOPMENT, INC.",115,17546569.14,2419000.0
FRESH START NOW INC,42,17487639.61,1877130.0
"PACIFIC INSTRUMENTS, INC.",39,17455759.68,2751970.0
"DESCARTES LABS, INC.",45,17442380.35,9732578.0
"ARISTA AVIATION SERVICES, LLC.",95,17440793.169999998,2545311.53
"UNIVERSAL HI-TECH DEVELOPMENT, INC",79,17405454.38,1318708.49
PLEXUS-AYUDA JOINT VENTURE LLC,21,17388403.2,6145467.02
"TOP ECHELON CONTRACTING, INC.",21,17351622.16,4720824.32
"REDWIRE DEFENSE TECH OPERATIONS, LLC",3,17341560.0,15857020.0
"BCPEABODY CONSTRUCTION SERVICES, INC.",85,17335023.56,4689140.0
DUBLIN SAN RAMON SERVICES DISTRICT,80,17222143.6,1530703.22
"SAGEONE, INC",77,17208890.59,4030988.05
HAMILL MANUFACTURING COMPANY,167,17181634.2,6608140.0
"UNIVERSITY PHYSICIANS OF BROOKLYN, INC",84,17169974.4,1307033.88
VIZZ LIMITED LIABILITY COMPANY,36,17136107.39,2001936.0
"QUANTUM TECHNOLOGY SCIENCES, INC.",86,17100136.0,1736337.0
VERSAR-ENVIROCON JV,52,17097716.44,4835100.97
PARETO FRONTIER LLC,18,17091927.0,10528077.97
GATESTONE & CO. INC,34,17085897.2,5150000.0
"CAPEWELL COMPONENTS COMPANY, LLC",46,17057305.759999998,13325000.0
"STEARNS, CONRAD AND SCHMIDT, CONSULTING ENGINEERS, INC.",44,17035376.91,6180536.77
MARLBORO ELECTRIC COOPERATIVE INC,111,17012811.509999998,1701084.68
EMAGINEERED SOLUTIONS INC,72,17010900.259999998,1926000.0
MERLIN LABS INC,13,16924778.32,9218813.32
"NICHI-IKO PHARMACEUTICAL CO.,LTD.",2,16914338.4,16638758.4
UNIVERSAL TECHNOLOGIES INC.,54,16907738.89,2133167.0
"AMERICAN MECHANICAL SERVICES OF MARYLAND, L.L.C.",44,16880774.97,3660029.69
DRONESHIELD LLC,6,16878583.86,13836183.86
ADVANCED LAN TECHS INC,76,16812502.56,1033992.8
"WOODLAWN MANUFACTURING, LTD.",49,16789932.95,1808257.44
"GENESIS DESIGN AND DEVELOPMENT, LLC",80,16763293.85,3600615.0
"ZONES, LLC",40,16757520.94,5191703.0
ORO MANUFACTURING CO,29,16745488.56,1944178.0
"SOMALOGIC OPERATING CO., INC",45,16734506.0,2099999.92
FRONTIER AEROSPACE CORP,59,16701849.79,2600000.0
UNIVERSAL LANGUAGE CORPORATION,52,16679232.99,2225000.0
ZERO POINT INC,42,16613076.31,1434733.96
"CYAN SYSTEMS, INC.",77,16599267.81,2824768.0
MODERN HEALTHCARE SERVICES JV LLC,168,16597416.35,2021544.4
"PRECISION MECHANICAL, LLP",50,16580519.54,4415846.0
"APOLLO CONSTRUCTION COMPANY, INC",129,16541542.9,1673282.0
BALLY RIBBON MILLS,111,16512145.82,4232259.47
ONE SPRING LLC,23,16480343.83,3757480.0
COGENT PEOPLE INC,11,16425148.0,7999554.0
"TRANSPERFECT GLOBAL, INC.",100,16396494.290000001,2449699.64
"HORIZONE CONSTRUCTION I, LTD",66,16380988.48,2026415.51
BIOGENESIS BAGO S.A.,8,16374999.44,6000000.0
"KEYSTONE SYNERGISTIC ENTERPRISES, LLC",75,16358576.870000001,2949828.0
PREMIER CONSTRUCTORS INC,61,16357446.39,4284480.27
APL CEVA GOVERNMENT LOGISTICS,43,16346719.38,2317322.0
AECOM SMITH CARTER JOINT VENTURE,68,16337105.57,1963040.0
CITY OF SHERIDAN,76,16292901.71,1531046.0
CHENEGA DECISION SCIENCES LLC,5,16246378.31,17574118.0
ALLPRO STAFFNET LIMITED-LIABILITY COMPANY,78,16200458.15,1248582.4
DIGITAL SCIENCE & RESEARCH SOLUTIONS INC,44,16196932.78,1897205.0
"WELCH FOODS INC., A COOPERATIVE",15,16188802.9,11351882.5
JT SQUARE PTE. LTD.,39,16152734.46,4788000.0
FARIBAULTMILL LLC,30,16147847.780000001,2490805.6
"APC INGENESIS HEALTHCARE STAFFING, LLC",31,16114467.64,3740584.7
FIDELIS SUSTAINABILITY DISTRIBUTION  LLC,16,16034752.54,4766327.93
"SCOPSKY FOR COMMUNICATIONS, INTERNET AND TECHNOLOGY SERVICES, A LIMITED LIABILITY COMPANY",34,16013792.47,5442000.0
"ANSUN BIOPHARMA, INC.",6,15994469.65,9999165.0
RENEW-MASON & HANGER JV,19,15984169.16,13889927.0
"JCSD EMERGENCY MEDICAL GROUP, INC.",22,15973928.3,2882685.0
"GASTON & SHEEHAN AUCTIONEERS, INC",17,15971527.52,3941800.0
"GATEWAY TO OUTDOOR SOLUTIONS, LLC",148,15959979.4,1789180.0
INTERFACE MEDIA GROUP INC,77,15926606.73,1671345.4
BRISTLECONE VENTURES LLC,20,15911055.65,9521902.0
MCG HEALTH  LLC,22,15909979.36,4506964.8
VODAFONE GLOBAL ENTERPRISE LTD,39,15884039.65,1991915.05
JOHN WOOD GROUP P.L.C.,86,15877630.03,1274000.0
"VINCENT JONES ROOFING, INC",42,15819418.389999999,6413702.43
"CHEMTRACK/CORNERSTONE JV III, LLC",3,15752772.0,15434298.0
SPRINGER HEALTHCARE LLC,47,15717087.13,1824970.0
SOLVAY,8,15693177.56,8766000.0
"GUARDIAN MANUFACTURING COMPANY, LLC",38,15689549.18,3126220.94
3 SQUARED TECHNOLOGY GROUP LLC,24,15660803.540000001,1875472.83
"PANTHERA BIOPHARMA, LLC",20,15649877.99,2559599.0
"THE BRUNSWICK GROUP ASSOCIATES, INC.",41,15639728.73,2528395.0
COMPAGNIE DE DEVELOPPEMENT DE L'EAU S.A.,15,15634798.379999999,4644300.0
FRONTIER-ARROWHEAD JV,52,15631115.75,5055300.0
"PREMIER AIR CENTER, LLC",12,15617992.040000001,14919350.38
CARTRIDGE ACTUATED DEVICES INC,173,15561408.24,4081763.45
"VETSYS, LLC",20,15536744.61,3533754.0
KEYSTONE MISSION SOLUTIONS CORP,4,15523960.0,14850000.0
FORT PECK MANUFACTURING INC & WEST ELECTRONICS INC JOINT VENTURE,2,15519865.26,17435943.0
"AERIE VENTURE, INC.",28,15500975.27,2151539.2
"PROCARE AMBULANCE OF MARYLAND, INC",55,15474469.17,1769307.71
"CENTURION ARMORING INTERNATIONAL, INC.",20,15430209.05,3114540.0
"BLUE STEEL PARTNERS, LLC",15,15393066.23,4500000.0
"AVENTURA TECHNOLOGIES, INC.",26,15385383.45,4313120.77
"INTEGRAL SYSTEMS, INC.",150,15364171.31,2057904.0
"TAYLOR ELECTRIC COOPERATIVE, INC.",14,15327068.0,13040268.0
INTELLIGENT POWER & ENERGY RESEARCH CORPORATION,57,15315232.89,2999949.0
VIKING BROS LLC,156,15292091.71,9150440.0
R2C LIMITED LIABILITY COMPANY,42,15285867.44,3817301.32
CENTERRA CONSTRUCTION PARTNERS LLC,26,15271168.76,7789070.64
"PRECISION PLANNING AND SIMULATION, INC",69,15258898.69,2271483.0
FRONTIER STRATEGIES  LLC,16,15254511.370000001,6016137.3
C & S JONES GROUP LLC,90,15236048.47,1630344.97
CASCADE DRILLING  L.P.,14,15219962.0,5780865.0
"LONE STAR GRADING & MATERIALS, LLC",34,15209220.36,3648973.0
PANTHER SUMMIT INDUSTRIES INC,106,15189320.370000001,1155550.0
"QUANTUM TECHNOLOGIES, INC",49,15170215.33,2051680.0
ANALOG DEVICES FEDERAL LLC,1,15149637.54,15149637.54
I3TECH DATA SOLUTIONS INC,64,15141446.43,1049949.0
DRIFTWOOD BUILDERS INC,55,15102245.0,2919988.0
DMS ALLSTAR JV,55,15082763.82,3327197.27
LRS PARADIGM ENGINEERS LLC,68,15078329.83,2462439.0
"AIRBUS U.S. SPACE & DEFENSE, INC.",78,15069578.44,1865750.26
QUALCOMM INTELLIGENT SOLUTIONS INC,5,15053421.0,8991794.0
"MSA SAFETY SALES, LLC",27,15013920.88,3892411.0
"SDC TIDEWATER JV, LLC",38,14945164.28,1734223.67
STOLT-NIELSEN B.V.,42,14933525.1,2829125.0
HEARST BUSINESS MEDIA,22,14922120.08,5376663.08
"INTERNATIONAL MANAGEMENT AND CONSULTING, LIMITED LIABILITY COMPANY",44,14908307.93,3694280.0
CENTER FOR APPLIED RESEARCH SOLUTIONS (CARS),17,14861302.0,3092418.0
"DAKOTA PLAINS ELECTRICAL CONTRACTING, INC.",53,14844983.17,3990009.0
VANTOR INC.,50,14843667.59,5267745.72
BRIGHTSIDE 09 INC.,73,14792971.58,1802999.0
PRIORITY ONE MEDICAL TRANSPORT INC,24,14748821.17,2600000.0
"WESTLAKE, REED, LESKOSKY, LTD.",146,14738849.8,2700000.0
PREMIER MECHANICAL GROUP INC,81,14691987.35,1223500.0
"AVALON BUSINESS ENGINEERING SERVICES, LLC",66,14687984.959999999,2218306.88
SCHWEIZERISCHE EIDGENOSSENSCHAFT,60,14669557.700000001,2836484.0
ATLANTIC INDUSTRIAL COATINGS LIMITED LIABILITY COMPANY,5,14652521.24,6886519.8
PROSEGUR - COMPANHIA DE SEGURANCA  LDA,5,14645473.87,17741740.86
"DRAGONFLY PICTURES, INC.",84,14629242.67,2835451.0
COONEEN TEXTILES LTD,28,14628631.17,10801076.0
NOVATEUR RESEARCH SOLUTIONS LLC,61,14625146.3,1799988.87
"MERIDIAN PARTNERS, LLC",32,14621094.77,2398512.0
LANTERIS SPACE LLC,39,14616967.38,2403715.0
"REDSTONE SOLAR I, LLC",36,14614223.82,1708380.0
"SANSONE COMPANY, INC.",77,14547213.73,4586700.0
"PORTER MANUFACTURING, L.L.C.",36,14520172.969999999,4577628.0
"QUANTUM SIGNAL, L.L.C.",120,14461731.88,2949903.78
"P.R.N CONSULTANTS, INC.",41,14384871.54,1587000.0
"BRYANT HEALTHCARE CONSULTANTS, INC.",17,14374369.0,4230072.0
REYNOLDS & ASSOCIATES INC.,58,14335768.68,1368039.84
7TH ECHELON LLC,54,14327995.04,1725591.0
DIAGNOSTIC SOLUTIONS INTERNATIONAL LLC,36,14321846.61,1796091.0
MEAD & HUNT INC,18,14300803.950000001,5117064.82
PERNIX KASEMAN JOINT VENTURE,28,14290411.62,11572584.0
ASHFORD INTERNATIONAL LLC,59,14261453.120000001,2353096.1
AVRAM TAMAYO JOINT VENTURE LLC,26,14184705.21,3558153.31
NEW COLT HOLDING CORPORATION,28,14165108.0,10136352.0
PRESS GANEY ASSOCIATES LLC,78,14160726.43,2239556.09
"QUIDELORTHO SALES COMPANY, LLC",168,14147559.43,1224134.88
"HIGHLAND CAPITAL MANAGEMENT, L.P.",8,14136773.719999999,3444883.84
"PARADIGM CONSTRUCTION SERVICES, LLC",44,14136751.88,3312864.0
"TELEMETRY & COMMUNICATIONS SYSTEMS, INC.",29,14134437.0,2290200.0
MARYLAND STATE DEPARTMENT OF EDUCATION,38,14109325.94,3106168.68
SAFECO - CDSI JV L.L.C.,24,14093378.0,3827222.0
ALACRIANT INC,24,14072693.13,4632210.0
MICROSEMI CORP. - RF SIGNAL PROCESSING,33,14055640.0,2754480.0
"RESIDENTIAL ENHANCEMENTS, INC.",42,13999669.190000001,5625788.0
"APOLLO MANAGEMENT V, L.P.",43,13954170.77,2241859.2
KGCI INC,74,13948549.96,3406186.0
"STONE COUNTY REHABILITATION AND NURSING CENTER, INC",25,13921641.83,1802891.69
RADIAL RESEARCH & DEVELOPMENT LTD,68,13921328.32,1759997.0
"MARYLAND MEDICAL RESEARCH INSTITUTE, INC.",69,13902907.36,5138264.0
STATE OF WISCONSIN GOVERNORS OFFICE,31,13820760.0,1213000.0
"COOPER HATCHERY, INC.",13,13810787.120000001,3505429.23
ELLIOTT INVESTMENT MANAGEMENT GP LLC,59,13795795.1,4662617.46
"VIRGINIA DIODES, INC.",84,13691951.0,1487737.0
HIGHWAY TECHNOLOGY PARTNERS LLC,42,13680567.65,3072163.5
STANTEC CONSULTING SERVICES INC,62,13665484.56,2908756.22
"OREGON PREMIER LOCATIONS, LLC",44,13663558.91,2431356.0
"ACE PRECISION MACHINING, LLC",21,13658230.0,5872398.0
"SALONE, LLC",57,13642571.68,2970497.0
ONEWEB TECHNOLOGIES INC.,21,13600573.48,6100000.0
GENERAL MANUFACTURING CO.,80,13581377.17,3740931.0
"DORON PRECISION SYSTEMS, INC",18,13578120.0,8350475.0
WESCO AIRCRAFT HARDWARE CORP.,35,13534174.84,3509820.0
DRONE AMPLIFIED INC,40,13530115.86,1539442.76
MEGGITT AIRCRAFT BRAKING SYSTEMS KENTUCKY CORPORATION,55,13529540.05,2804025.11
"P E SYSTEMS, INC.",52,13506045.69,1421184.0
VIRGINIA POULTRY GROWERS COOPERATIVE INC,17,13505012.129999999,2297100.0
BRUKER SCIENTIFIC LLC,45,13490454.41,2194227.82
GEO-MARINE AND AECOM JOINT VENTURE,49,13473797.040000001,5382190.3
INTELLIGENT DEVICES LLC,21,13460466.0,6616350.5
KINDER MORGAN ENERGY PARTNERS L P,21,13450920.0,6779520.0
STANTEC/AECOM LLC,71,13414886.0,1999481.0
"NIELSEN CONSUMER, INC.",29,13412599.5,2200000.0
CCMP CAPITAL ADVISORS  LLC,23,13408948.84,4692123.6
BLACK KNIGHT ENTERPRISES INC,9,13401873.639999999,12902985.85
ONES WHITETAIL JOINT VENTURE LLC,37,13397438.82,1453251.85
TERRAN ORBITAL OPERATING CORPORATION,60,13382986.8,1612000.0
KATMAI QUANTUM LLC,18,13369066.42,4741377.53
"RHEA ENGINEERS & CONSULTANTS, INC",79,13366167.42,3305570.0
ORAN-PALMACH TZUBA AGRICULTURAL COOPERATIVE COMMUNITY LTD,50,13349187.44,3060204.0
"THE BODHI GROUP, INC",24,13317936.04,3999154.0
SES-TECH REMEDIATION SERVICES,50,13311627.86,1811068.0
"CORELOGIC SOLUTIONS, LLC",38,13283531.26,5922000.0
UPSTONE MATERIALS INC,32,13280013.379999999,7013742.05
SUPERIOR CONTROLS INC,31,13273902.76,3094255.28
CYONE INC,31,13271900.280000001,6579488.58
"GP STRATEGIES GOVERNMENT SOLUTIONS, INC",22,13240157.91,3215855.03
"EWING COMPONENTS, INC.",39,13232543.77,2498697.52
CASCADE FIRE EQUIPMENT CO,34,13177522.950000001,2299140.0
ASHFORD LEEBCOR JV LLC,27,13170051.94,2983293.0
"HEMET MANUFACTURING COMPANY, INC.",17,13167517.54,6402777.0
HAROLD MACQUINN INC,13,13167496.93,7800350.0
SCC HOLDING CO LLC,12,13150896.549999999,1306800.39
"INNOVATIVE WIRELESS TECHNOLOGIES, INC.",53,13116133.81,1984084.28
"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",30,13112096.27,1764700.0
DOW EUROPE GMBH,10,13109458.4,8902080.0
"REXNORD INDUSTRIES, LLC",47,13079704.88,1110780.0
"HARFORD COUNTY, MARYLAND",5,13063710.0,7363710.0
"CORNFORTH CONSULTANTS, INC.",68,13042752.79,1626380.04
CARLYLE GROUP MANAGEMENT L.L.C.,12,13031450.719999999,4499808.0
ONEERP SOLUTIONS LLC,7,13001103.809999999,9486500.35
